Numéro,Nom,Quantité Lot numéro 01,Type de card
1,1 G,7,gold
1,1,16,
2,2 G,7,gold
2,2,15,
3,3 G,7,gold
3,3,17,
4,4 G,8,gold
4,4,17,
5,5 G,7,gold
5,5,16,
6,6 G,7,gold
6,6,16,
7,7 G,8,gold
7,7,17,
8,8 G,8,gold
8,8,17,
9,9 G,7,gold
9,9,17,
10,10 G,7,gold
10,10,16,
11,11 G,8,gold
11,11,16,
12,12 G,6,gold
12,12,15,
13,13 G,7,gold
13,13,15,
14,14 G,8,gold
14,14,15,
15,15 G,7,gold
15,15,15,
16,16 G,7,gold
16,16,16,
17,17 G,8,gold
17,17,16,
18,18 G,8,gold
18,18,16,
19,19 G,7,gold
19,19,15,
20,20 G,7,gold
20,20,16,
21,21 G,8,gold
21,21,15,
22,22 G,9,gold
22,22,15,
23,23 G,6,gold
23,23,16,
24,24 G,6,gold
24,24,15,
25,25 G,6,gold
25,25,16,
26,26 G,6,gold
26,26,15,
27,27 G,7,gold
27,27,14,
